nome,telefone,valor_contribuido,forma_pagamento
Larissa Moreira,(71) 97241-2427,25,PIX
Sofia Ferreira,(71) 95072-2428,90,PIX
Victor Ferreira,(71) 95772-2429,40,PIX
Helena Carvalho,(71) 94239-2430,0,Não contribuiu
Isabela Souza,(71) 91062-2431,50,Espécie
Elaine Souza,(71) 98388-2432,0,Não contribuiu
William Melo,(71) 91437-2433,75,PIX
Lucas Dias,(71) 93449-2434,35,PIX
Gustavo Ferreira,(71) 97895-2435,80,Espécie
Rafael Carvalho,(71) 92010-2436,55,Espécie
Samuel Santos,(71) 99366-2437,35,PIX
Victor Pereira,(71) 98773-2438,10,PIX
Daniel Ribeiro,(71) 91052-2439,30,Espécie
Paulo Rocha,(71) 99208-2440,0,Não contribuiu
Paulo Costa,(71) 97383-2441,45,PIX
Sofia Costa,(71) 95268-2442,40,PIX
Rodrigo Dias,(71) 93106-2443,0,Não contribuiu
Lucas Costa,(71) 93714-2444,30,Espécie
Eduardo Melo,(71) 96052-2445,0,Não contribuiu
Samuel Carvalho,(71) 93186-2446,40,Espécie
Bruno Pereira,(71) 98195-2447,65,PIX
Simone Pereira,(71) 98342-2448,75,Espécie
William Santos,(71) 94133-2449,10,PIX
Eduardo Santos,(71) 93203-2450,75,Espécie
Renata Dias,(71) 91780-2451,85,PIX
Sofia Almeida,(71) 95237-2452,0,Não contribuiu
Sofia Mendes,(71) 98351-2453,30,Espécie
Carlos Gomes,(71) 91293-2454,65,PIX
Renata Santos,(71) 92193-2455,35,PIX
Renata Rocha,(71) 95376-2456,85,PIX
Helena Souza,(71) 99636-2457,15,Espécie
Mateus Teixeira,(71) 93153-2458,40,PIX
Gabriel Vieira,(71) 95314-2459,35,PIX
Diego Lima,(71) 99888-2460,0,Não contribuiu
Mariana Martins,(71) 93878-2461,30,PIX
Elaine Moreira,(71) 91757-2462,80,Espécie
Aline Moreira,(71) 98961-2463,75,PIX
Rafael Costa,(71) 94981-2464,90,PIX
Vanessa Barbosa,(71) 93884-2465,40,Espécie
Aline Martins,(71) 97250-2466,95,PIX
Juliana Ramos,(71) 94250-2467,30,Espécie
Lucas Ribeiro,(71) 95552-2468,0,Não contribuiu
Aline Gomes,(71) 98347-2469,20,Espécie
Thiago Teixeira,(71) 97751-2470,0,Não contribuiu
Mariana Dias,(71) 96789-2471,45,PIX
Renata Barbosa,(71) 95088-2472,15,PIX
Ana Nascimento,(71) 91369-2473,25,PIX
João Gomes,(71) 99631-2474,55,Espécie
Fábio Vieira,(71) 97599-2475,0,Não contribuiu
Bruno Dias,(71) 94486-2476,40,Espécie
Fábio Dias,(71) 99242-2477,10,PIX
Mateus Melo,(71) 95164-2478,0,Não contribuiu
Marcelo Carvalho,(71) 95921-2479,0,Não contribuiu
Rodrigo Dias,(71) 97764-2480,70,PIX
Diego Martins,(71) 91070-2481,20,PIX
Simone Mendes,(71) 93705-2482,40,PIX
Ana Ferreira,(71) 92477-2483,50,PIX
Ana Oliveira,(71) 92685-2484,0,Não contribuiu
Yasmin Mendes,(71) 91105-2485,0,Não contribuiu
João Santos,(71) 97991-2486,0,Não contribuiu
Natália Pereira,(71) 95285-2487,20,PIX
Beatriz Souza,(71) 97396-2488,30,Espécie
Mateus Teixeira,(71) 92143-2489,55,PIX
Patrícia Moreira,(71) 96267-2490,0,Não contribuiu
Patrícia Oliveira,(71) 92159-2491,0,Não contribuiu
Ana Silva,(71) 98855-2492,40,Espécie
William Ferreira,(71) 98747-2493,80,PIX
Natália Mendes,(71) 95319-2494,80,PIX
Camila Moreira,(71) 97822-2495,0,Não contribuiu
Vanessa Gomes,(71) 94497-2496,10,Espécie
Simone Mendes,(71) 96779-2497,80,PIX
Natália Carvalho,(71) 99460-2498,35,Espécie
Fernanda Pereira,(71) 99302-2499,10,Espécie
Mariana Costa,(71) 98212-2500,0,Não contribuiu
Gustavo Barbosa,(71) 91789-2501,0,Não contribuiu
Aline Santos,(71) 98088-2502,100,PIX
Lucas Gomes,(71) 93554-2503,100,Espécie
Sofia Ribeiro,(71) 97349-2504,0,Não contribuiu
Juliana Gomes,(71) 94199-2505,0,Não contribuiu
Gustavo Pereira,(71) 99123-2506,0,Não contribuiu
Camila Ramos,(71) 97896-2507,40,Espécie
Natália Carvalho,(71) 96922-2508,30,PIX
Fernanda Costa,(71) 95277-2509,95,Espécie
Gustavo Rocha,(71) 99887-2510,40,Espécie
Larissa Ramos,(71) 98316-2511,40,PIX
Beatriz Ribeiro,(71) 98385-2512,45,PIX
Ana Oliveira,(71) 95230-2513,85,Espécie
Vinícius Barbosa,(71) 96632-2514,75,PIX
Rafael Vieira,(71) 97076-2515,95,Espécie
Diego Santos,(71) 91212-2516,85,Espécie
Carlos Souza,(71) 96588-2517,15,PIX
Juliana Ribeiro,(71) 94360-2518,60,Espécie
Beatriz Ribeiro,(71) 97686-2519,35,Espécie
Thiago Ramos,(71) 91655-2520,0,Não contribuiu
Diego Santos,(71) 99625-2521,75,PIX
Natália Almeida,(71) 98811-2522,35,PIX
Samuel Ramos,(71) 99908-2523,25,PIX
Gabriel Nascimento,(71) 99420-2524,50,PIX
Diego Gomes,(71) 94476-2525,0,Não contribuiu
Marcelo Souza,(71) 92612-2526,25,Espécie
Daniel Dias,(71) 97959-2527,95,Espécie
Camila Costa,(71) 91914-2528,85,Espécie
Sofia Vieira,(71) 99558-2529,65,PIX
Patrícia Souza,(71) 93902-2530,95,PIX
Eduardo Pereira,(71) 94461-2531,70,Espécie
Daniel Martins,(71) 96587-2532,45,PIX
Lucas Vieira,(71) 98505-2533,0,Não contribuiu
Thiago Melo,(71) 99191-2534,90,Espécie
Bruno Costa,(71) 92762-2535,30,PIX
Ana Ribeiro,(71) 99638-2536,65,Espécie
Simone Pereira,(71) 92730-2537,90,PIX
Diego Souza,(71) 91891-2538,0,Não contribuiu
Vanessa Santos,(71) 96388-2539,65,PIX
Ana Almeida,(71) 92020-2540,40,Espécie
Gustavo Pereira,(71) 96788-2541,0,Não contribuiu
Eduardo Oliveira,(71) 94544-2542,0,Não contribuiu
Natália Silva,(71) 93767-2543,15,PIX
Gustavo Rocha,(71) 91530-2544,45,Espécie
Vanessa Santos,(71) 98634-2545,90,Espécie
Mariana Ferreira,(71) 96315-2546,45,PIX
Yasmin Silva,(71) 97596-2547,65,Espécie
Vanessa Teixeira,(71) 99262-2548,20,Espécie
Isabela Oliveira,(71) 93202-2549,0,Não contribuiu
Juliana Silva,(71) 99708-2550,60,Espécie
Thiago Oliveira,(71) 92077-2551,85,Espécie
Daniel Martins,(71) 94899-2552,75,PIX
Juliana Pereira,(71) 98852-2553,15,Espécie
Thiago Lima,(71) 93317-2554,75,PIX
Larissa Oliveira,(71) 92955-2555,40,Espécie
Marcelo Teixeira,(71) 99716-2556,0,Não contribuiu
Rafael Gomes,(71) 93106-2557,55,Espécie
Beatriz Martins,(71) 98818-2558,95,PIX
Victor Ramos,(71) 98836-2559,0,Não contribuiu
Victor Ribeiro,(71) 97630-2560,0,Não contribuiu
João Gomes,(71) 98258-2561,45,Espécie
Victor Ferreira,(71) 92698-2562,20,PIX
Sofia Barbosa,(71) 99992-2563,0,Não contribuiu
Samuel Santos,(71) 92124-2564,25,Espécie
Helena Santos,(71) 93447-2565,40,Espécie
Gustavo Nascimento,(71) 93521-2566,35,Espécie
Beatriz Pereira,(71) 99050-2567,50,PIX
Patrícia Ferreira,(71) 95884-2568,0,Não contribuiu
Juliana Souza,(71) 99210-2569,0,Não contribuiu
Sofia Rocha,(71) 97018-2570,50,PIX
Isabela Dias,(71) 92052-2571,50,PIX
Natália Silva,(71) 98537-2572,75,PIX
Camila Barbosa,(71) 91015-2573,25,PIX
Rodrigo Oliveira,(71) 99904-2574,45,Espécie
Thiago Vieira,(71) 96687-2575,75,PIX
Sofia Pereira,(71) 96802-2576,15,Espécie
Diego Lima,(71) 93990-2577,85,PIX
Gustavo Souza,(71) 91127-2578,40,Espécie
Gustavo Pereira,(71) 93388-2579,30,Espécie
Helena Dias,(71) 93949-2580,15,Espécie
Victor Vieira,(71) 96331-2581,0,Não contribuiu
Vinícius Vieira,(71) 93886-2582,50,Espécie
Victor Barbosa,(71) 93596-2583,35,PIX
Marcelo Dias,(71) 95925-2584,25,Espécie
Rafael Costa,(71) 91794-2585,100,Espécie
João Martins,(71) 99066-2586,45,PIX
Camila Ramos,(71) 98789-2587,100,PIX
Camila Mendes,(71) 99160-2588,0,Não contribuiu
Mateus Vieira,(71) 96087-2589,15,PIX
Juliana Ferreira,(71) 94051-2590,30,Espécie
Rodrigo Dias,(71) 98165-2591,0,Não contribuiu
William Vieira,(71) 95141-2592,0,Não contribuiu
Aline Souza,(71) 97795-2593,70,PIX
Rodrigo Ribeiro,(71) 96830-2594,45,PIX
Rodrigo Almeida,(71) 92585-2595,0,Não contribuiu
Eduardo Santos,(71) 94503-2596,65,PIX
Daniel Dias,(71) 98840-2597,55,PIX
Fábio Santos,(71) 95368-2598,45,PIX
William Nascimento,(71) 94118-2599,0,Não contribuiu
Natália Dias,(71) 92960-2600,0,Não contribuiu
Gabriel Pereira,(71) 91517-2601,30,PIX
Vanessa Vieira,(71) 98546-2602,10,Espécie
Yasmin Nascimento,(71) 98158-2603,100,Espécie
Bruno Pereira,(71) 95921-2604,25,PIX
Isabela Almeida,(71) 93096-2605,90,PIX
Rodrigo Lima,(71) 93220-2606,0,Não contribuiu
Bruno Ribeiro,(71) 91227-2607,95,Espécie
Sofia Gomes,(71) 98576-2608,45,PIX
Carlos Santos,(71) 97300-2609,35,PIX
Bruno Mendes,(71) 93635-2610,40,PIX
Isabela Ferreira,(71) 91525-2611,0,Não contribuiu
Natália Ribeiro,(71) 97061-2612,45,PIX
Thiago Souza,(71) 95671-2613,30,Espécie
Samuel Rocha,(71) 99062-2614,40,PIX
Vinícius Costa,(71) 98246-2615,0,Não contribuiu
Marcelo Rocha,(71) 91988-2616,0,Não contribuiu
Marcelo Rocha,(71) 91055-2617,40,PIX
Yasmin Carvalho,(71) 93729-2618,60,Espécie
Fernanda Souza,(71) 96379-2619,10,PIX
Samuel Dias,(71) 93340-2620,35,Espécie
Sofia Ribeiro,(71) 98917-2621,0,Não contribuiu
Isabela Mendes,(71) 98703-2622,60,PIX
Bruno Carvalho,(71) 96383-2623,60,PIX
Simone Almeida,(71) 98166-2624,25,PIX
Lucas Carvalho,(71) 91266-2625,10,PIX
Beatriz Gomes,(71) 96461-2626,20,Espécie
Bruno Ramos,(71) 96867-2627,0,Não contribuiu
Carlos Santos,(71) 92502-2628,0,Não contribuiu
Vanessa Carvalho,(71) 92876-2629,95,Espécie
Daniel Ramos,(71) 97235-2630,0,Não contribuiu
Natália Silva,(71) 92110-2631,95,PIX
Sofia Lima,(71) 93385-2632,0,Não contribuiu
Rodrigo Oliveira,(71) 99035-2633,40,PIX
Mariana Oliveira,(71) 98682-2634,55,PIX
Fernanda Mendes,(71) 97479-2635,50,Espécie
Marcelo Carvalho,(71) 95746-2636,35,PIX
Thiago Souza,(71) 91739-2637,95,PIX
Ana Dias,(71) 92225-2638,50,PIX
Diego Silva,(71) 92643-2639,15,Espécie
Marcelo Santos,(71) 95468-2640,45,Espécie
Larissa Nascimento,(71) 93587-2641,80,Espécie
Samuel Vieira,(71) 96692-2642,35,Espécie
Paulo Silva,(71) 97964-2643,85,PIX
Fábio Lima,(71) 98817-2644,65,PIX
Larissa Barbosa,(71) 94721-2645,0,Não contribuiu
Diego Costa,(71) 99477-2646,40,PIX
Carlos Lima,(71) 95802-2647,0,Não contribuiu
Camila Costa,(71) 91003-2648,75,Espécie
Aline Melo,(71) 91184-2649,40,Espécie
Diego Moreira,(71) 99049-2650,30,PIX
Sofia Oliveira,(71) 95327-2651,20,PIX
Lucas Teixeira,(71) 94158-2652,0,Não contribuiu
Camila Ferreira,(71) 93554-2653,60,PIX
Renata Oliveira,(71) 92705-2654,45,PIX
Bruno Vieira,(71) 99837-2655,50,PIX
Yasmin Almeida,(71) 99064-2656,0,Não contribuiu
Marcelo Melo,(71) 94863-2657,80,Espécie
Bruno Ribeiro,(71) 94133-2658,55,PIX
Aline Rocha,(71) 99966-2659,90,PIX
Simone Silva,(71) 99565-2660,45,Espécie
Carlos Moreira,(71) 93004-2661,75,PIX
João Silva,(71) 94493-2662,90,PIX
Gustavo Martins,(71) 98985-2663,85,Espécie
Eduardo Gomes,(71) 93058-2664,90,Espécie
Vinícius Dias,(71) 91071-2665,70,Espécie
João Santos,(71) 92288-2666,0,Não contribuiu
Fernanda Rocha,(71) 97266-2667,0,Não contribuiu
Lucas Melo,(71) 95982-2668,80,Espécie
Marcelo Ferreira,(71) 98921-2669,0,Não contribuiu
Renata Ramos,(71) 95798-2670,75,Espécie
Gustavo Santos,(71) 92381-2671,75,Espécie
Rafael Gomes,(71) 92374-2672,45,Espécie
Isabela Moreira,(71) 98041-2673,70,Espécie
João Vieira,(71) 99422-2674,75,Espécie
Helena Moreira,(71) 96874-2675,0,Não contribuiu
Fernanda Vieira,(71) 92176-2676,25,PIX
Renata Ramos,(71) 91963-2677,20,PIX
Larissa Ramos,(71) 91822-2678,35,Espécie
Rodrigo Melo,(71) 94488-2679,20,Espécie
Eduardo Ferreira,(71) 93564-2680,55,PIX
Fernanda Costa,(71) 92560-2681,0,Não contribuiu
Lucas Barbosa,(71) 95907-2682,35,Espécie
Camila Almeida,(71) 97342-2683,100,Espécie
Gabriel Rocha,(71) 94004-2684,95,PIX
Simone Moreira,(71) 98408-2685,0,Não contribuiu
William Pereira,(71) 99965-2686,10,Espécie
Camila Martins,(71) 96849-2687,40,Espécie
Larissa Martins,(71) 91236-2688,75,PIX
Marcelo Dias,(71) 98100-2689,25,PIX
Mariana Gomes,(71) 96184-2690,45,Espécie
Bruno Pereira,(71) 99033-2691,65,PIX
Sofia Gomes,(71) 92457-2692,45,Espécie
Daniel Souza,(71) 93193-2693,80,PIX
Vinícius Lima,(71) 95895-2694,45,PIX
Victor Rocha,(71) 96971-2695,15,Espécie
Patrícia Souza,(71) 97877-2696,45,Espécie
Mariana Dias,(71) 99636-2697,30,PIX
Beatriz Moreira,(71) 92274-2698,65,PIX
Vanessa Souza,(71) 97672-2699,70,Espécie
Victor Moreira,(71) 92995-2700,0,Não contribuiu
Sofia Moreira,(71) 92113-2701,0,Não contribuiu
Marcelo Vieira,(71) 91941-2702,35,PIX
Helena Ramos,(71) 91318-2703,35,PIX
Fernanda Ribeiro,(71) 92420-2704,50,PIX
Lucas Ferreira,(71) 91775-2705,50,Espécie
Aline Ferreira,(71) 96201-2706,95,Espécie
Vinícius Rocha,(71) 91328-2707,90,Espécie
Samuel Silva,(71) 95758-2708,0,Não contribuiu
Simone Dias,(71) 92339-2709,65,PIX
Diego Gomes,(71) 95943-2710,0,Não contribuiu
Marcelo Pereira,(71) 93003-2711,100,PIX
Camila Gomes,(71) 92455-2712,0,Não contribuiu
Gustavo Ramos,(71) 99712-2713,100,Espécie
Aline Moreira,(71) 97853-2714,95,Espécie
Beatriz Nascimento,(71) 95628-2715,60,Espécie
Vinícius Rocha,(71) 95343-2716,0,Não contribuiu
Rodrigo Lima,(71) 91602-2717,100,PIX
Fábio Vieira,(71) 96969-2718,0,Não contribuiu
Beatriz Costa,(71) 99760-2719,75,PIX
Isabela Gomes,(71) 92170-2720,20,PIX
Marcelo Martins,(71) 97624-2721,80,Espécie
Carlos Pereira,(71) 99708-2722,75,Espécie
Natália Gomes,(71) 98494-2723,35,Espécie
Marcelo Costa,(71) 92511-2724,65,Espécie
Lucas Oliveira,(71) 96589-2725,70,PIX
Renata Martins,(71) 92757-2726,80,PIX
Thiago Ribeiro,(71) 96739-2727,65,Espécie
Mariana Teixeira,(71) 93026-2728,25,Espécie
Samuel Oliveira,(71) 99102-2729,50,Espécie
Victor Ferreira,(71) 92379-2730,55,PIX
Gabriel Melo,(71) 91314-2731,0,Não contribuiu
Vinícius Pereira,(71) 99187-2732,25,PIX
João Rocha,(71) 96409-2733,75,Espécie
Mateus Pereira,(71) 94122-2734,0,Não contribuiu
Rafael Teixeira,(71) 93282-2735,30,Espécie
Camila Souza,(71) 96725-2736,15,Espécie
Diego Oliveira,(71) 95634-2737,0,Não contribuiu
Carlos Almeida,(71) 91222-2738,0,Não contribuiu
Samuel Vieira,(71) 95956-2739,0,Não contribuiu
Samuel Gomes,(71) 92914-2740,60,Espécie
Lucas Silva,(71) 98858-2741,85,PIX
Samuel Melo,(71) 94436-2742,65,Espécie
Bruno Gomes,(71) 91557-2743,95,PIX
Daniel Barbosa,(71) 92406-2744,50,Espécie
Samuel Vieira,(71) 96116-2745,0,Não contribuiu
Rodrigo Melo,(71) 97243-2746,55,Espécie
Ana Carvalho,(71) 95445-2747,0,Não contribuiu
Samuel Dias,(71) 91287-2748,70,Espécie
William Lima,(71) 92925-2749,95,Espécie
Lucas Santos,(71) 96460-2750,35,Espécie
João Carvalho,(71) 97980-2751,0,Não contribuiu
Gustavo Barbosa,(71) 97064-2752,35,Espécie
Isabela Oliveira,(71) 93393-2753,90,Espécie
Ana Ferreira,(71) 97803-2754,100,PIX
Yasmin Vieira,(71) 99435-2755,55,Espécie
Camila Almeida,(71) 99716-2756,95,PIX
Diego Barbosa,(71) 96889-2757,35,PIX
Mateus Carvalho,(71) 96945-2758,80,PIX
Fernanda Carvalho,(71) 98288-2759,30,PIX
Camila Vieira,(71) 99496-2760,70,PIX
João Ramos,(71) 97324-2761,0,Não contribuiu
William Vieira,(71) 96947-2762,15,Espécie
Isabela Vieira,(71) 96088-2763,10,Espécie
Bruno Pereira,(71) 95023-2764,35,Espécie
Thiago Mendes,(71) 97615-2765,85,PIX
Ana Costa,(71) 93854-2766,0,Não contribuiu
Mateus Gomes,(71) 99213-2767,85,Espécie
Aline Costa,(71) 94152-2768,0,Não contribuiu
Camila Vieira,(71) 98016-2769,0,Não contribuiu
Renata Silva,(71) 95964-2770,20,Espécie
Juliana Pereira,(71) 95047-2771,40,PIX
Thiago Santos,(71) 98284-2772,0,Não contribuiu
Renata Almeida,(71) 94559-2773,0,Não contribuiu
João Barbosa,(71) 99283-2774,75,PIX
Gabriel Gomes,(71) 91241-2775,0,Não contribuiu
Daniel Gomes,(71) 91857-2776,0,Não contribuiu
Diego Costa,(71) 93119-2777,100,PIX
Victor Vieira,(71) 95280-2778,0,Não contribuiu
Aline Ferreira,(71) 97828-2779,15,Espécie
Aline Carvalho,(71) 99302-2780,15,PIX
Gabriel Ferreira,(71) 94205-2781,100,Espécie
Fábio Nascimento,(71) 98860-2782,30,PIX
Camila Barbosa,(71) 92076-2783,85,Espécie
Fábio Rocha,(71) 92632-2784,60,Espécie
Patrícia Lima,(71) 95939-2785,0,Não contribuiu
Fernanda Ribeiro,(71) 94935-2786,0,Não contribuiu
Fábio Ferreira,(71) 97168-2787,0,Não contribuiu
Sofia Nascimento,(71) 95604-2788,0,Não contribuiu
Larissa Mendes,(71) 93180-2789,30,Espécie
Fernanda Vieira,(71) 96203-2790,60,PIX
Juliana Vieira,(71) 92350-2791,60,Espécie
Beatriz Melo,(71) 93046-2792,25,Espécie
Victor Ramos,(71) 97521-2793,0,Não contribuiu
Yasmin Ramos,(71) 99120-2794,20,Espécie
Sofia Teixeira,(71) 92490-2795,35,PIX
Rafael Carvalho,(71) 96953-2796,0,Não contribuiu
Elaine Rocha,(71) 95302-2797,0,Não contribuiu
Marcelo Melo,(71) 99804-2798,25,PIX
Elaine Gomes,(71) 95853-2799,0,Não contribuiu
Gabriel Rocha,(71) 94744-2800,90,PIX
Thiago Mendes,(71) 94974-2801,35,PIX
Beatriz Lima,(71) 99302-2802,75,Espécie
Diego Carvalho,(71) 98231-2803,25,Espécie
Bruno Martins,(71) 96471-2804,95,Espécie
Vinícius Ribeiro,(71) 93644-2805,65,Espécie
Helena Barbosa,(71) 93372-2806,85,PIX
Carlos Costa,(71) 97441-2807,65,Espécie
Carlos Mendes,(71) 93657-2808,0,Não contribuiu
Yasmin Ribeiro,(71) 98089-2809,0,Não contribuiu
Marcelo Martins,(71) 91942-2810,70,Espécie
Lucas Almeida,(71) 95700-2811,0,Não contribuiu
Helena Vieira,(71) 91455-2812,50,Espécie
Aline Martins,(71) 95738-2813,15,Espécie
Ana Ramos,(71) 93594-2814,75,Espécie
Simone Pereira,(71) 99527-2815,0,Não contribuiu
Isabela Ribeiro,(71) 97293-2816,80,Espécie
João Melo,(71) 98982-2817,0,Não contribuiu
Samuel Nascimento,(71) 98489-2818,0,Não contribuiu
Fábio Carvalho,(71) 92697-2819,35,Espécie
Juliana Souza,(71) 95594-2820,45,PIX
Beatriz Mendes,(71) 94974-2821,20,Espécie
Fernanda Carvalho,(71) 98305-2822,20,Espécie
Natália Nascimento,(71) 91192-2823,35,Espécie
Diego Mendes,(71) 91614-2824,35,PIX
Marcelo Almeida,(71) 94606-2825,80,Espécie
Natália Nascimento,(71) 96669-2826,0,Não contribuiu
Fábio Ferreira,(71) 94359-2827,30,Espécie
Elaine Gomes,(71) 95615-2828,20,Espécie
Camila Teixeira,(71) 94542-2829,100,PIX
Gustavo Dias,(71) 98632-2830,0,Não contribuiu
Bruno Gomes,(71) 99645-2831,55,Espécie
Victor Mendes,(71) 93224-2832,0,Não contribuiu
Carlos Pereira,(71) 94841-2833,60,PIX
Elaine Vieira,(71) 98709-2834,45,PIX
Fernanda Silva,(71) 93978-2835,50,Espécie
Mariana Vieira,(71) 96570-2836,30,PIX
Larissa Melo,(71) 92111-2837,25,Espécie
Bruno Barbosa,(71) 97192-2838,0,Não contribuiu
Ana Gomes,(71) 97385-2839,95,PIX
Juliana Vieira,(71) 92456-2840,50,PIX
Renata Melo,(71) 92286-2841,80,Espécie
Juliana Lima,(71) 94597-2842,45,PIX
Fábio Ramos,(71) 98192-2843,100,PIX
Isabela Costa,(71) 98660-2844,35,Espécie
Patrícia Martins,(71) 91788-2845,100,Espécie
Fábio Nascimento,(71) 94362-2846,80,PIX
Rafael Lima,(71) 98219-2847,0,Não contribuiu
Mateus Ribeiro,(71) 92915-2848,75,Espécie
Larissa Pereira,(71) 92350-2849,10,Espécie
Vanessa Barbosa,(71) 95177-2850,0,Não contribuiu
Isabela Melo,(71) 93824-2851,25,Espécie
Samuel Teixeira,(71) 91128-2852,30,Espécie
Paulo Barbosa,(71) 93099-2853,0,Não contribuiu
Daniel Oliveira,(71) 98247-2854,30,Espécie
Fernanda Rocha,(71) 96841-2855,55,Espécie
Marcelo Dias,(71) 95835-2856,40,PIX
Victor Silva,(71) 92526-2857,95,Espécie
Elaine Oliveira,(71) 98399-2858,0,Não contribuiu
Fernanda Oliveira,(71) 93313-2859,75,Espécie
Samuel Costa,(71) 91836-2860,25,PIX
Larissa Vieira,(71) 99604-2861,55,PIX
Diego Melo,(71) 94304-2862,35,PIX
William Dias,(71) 91066-2863,70,PIX
Sofia Carvalho,(71) 91969-2864,75,PIX
Larissa Melo,(71) 91150-2865,0,Não contribuiu
Fábio Melo,(71) 97148-2866,70,PIX
Vanessa Martins,(71) 95785-2867,45,PIX
Marcelo Rocha,(71) 91102-2868,35,Espécie
Natália Rocha,(71) 95221-2869,55,PIX
Bruno Mendes,(71) 91775-2870,0,Não contribuiu
Fábio Moreira,(71) 92868-2871,95,Espécie
Mariana Lima,(71) 99806-2872,80,PIX
Rodrigo Gomes,(71) 98603-2873,35,Espécie
Larissa Melo,(71) 92063-2874,45,PIX
Natália Almeida,(71) 92429-2875,95,PIX
Paulo Melo,(71) 99659-2876,0,Não contribuiu
Vanessa Almeida,(71) 96404-2877,30,PIX
Rafael Vieira,(71) 96234-2878,35,Espécie
Fábio Martins,(71) 92822-2879,80,Espécie
Elaine Carvalho,(71) 92815-2880,0,Não contribuiu
Fábio Melo,(71) 97474-2881,75,PIX
Mariana Lima,(71) 97394-2882,60,PIX
Simone Barbosa,(71) 97062-2883,0,Não contribuiu
Yasmin Ribeiro,(71) 98906-2884,30,PIX
Vanessa Nascimento,(71) 92513-2885,55,PIX
Mariana Pereira,(71) 94896-2886,0,Não contribuiu
Mateus Silva,(71) 91006-2887,0,Não contribuiu
Patrícia Teixeira,(71) 98889-2888,0,Não contribuiu
Aline Rocha,(71) 96583-2889,0,Não contribuiu
Larissa Mendes,(71) 93441-2890,0,Não contribuiu
Rafael Gomes,(71) 93944-2891,0,Não contribuiu
Carlos Santos,(71) 97201-2892,55,PIX
Paulo Santos,(71) 97490-2893,0,Não contribuiu
João Vieira,(71) 98712-2894,0,Não contribuiu
Sofia Ramos,(71) 98318-2895,0,Não contribuiu
Fernanda Barbosa,(71) 91125-2896,70,PIX
Mateus Moreira,(71) 91583-2897,95,PIX
Sofia Ramos,(71) 92172-2898,50,PIX
Rodrigo Carvalho,(71) 99662-2899,100,PIX
Sofia Souza,(71) 97788-2900,25,Espécie
Isabela Almeida,(71) 94401-2901,0,Não contribuiu
Rafael Moreira,(71) 93952-2902,25,PIX
Yasmin Melo,(71) 96506-2903,0,Não contribuiu
Vinícius Martins,(71) 98346-2904,55,Espécie
Vinícius Almeida,(71) 97932-2905,0,Não contribuiu
Helena Vieira,(71) 98356-2906,0,Não contribuiu
Patrícia Carvalho,(71) 93228-2907,0,Não contribuiu
Lucas Costa,(71) 97089-2908,100,PIX
Fábio Santos,(71) 95918-2909,90,PIX
Sofia Vieira,(71) 96917-2910,10,PIX
Yasmin Gomes,(71) 96939-2911,70,Espécie
Daniel Gomes,(71) 92798-2912,0,Não contribuiu
Fábio Gomes,(71) 95206-2913,90,PIX
Paulo Santos,(71) 93726-2914,20,PIX
Renata Ribeiro,(71) 91757-2915,80,PIX
Marcelo Melo,(71) 96955-2916,35,PIX
Juliana Silva,(71) 92045-2917,65,Espécie
Fernanda Lima,(71) 93742-2918,65,Espécie
Daniel Teixeira,(71) 99366-2919,65,PIX
Thiago Carvalho,(71) 94275-2920,85,PIX
Renata Gomes,(71) 99722-2921,10,Espécie
Fábio Lima,(71) 92886-2922,0,Não contribuiu
Marcelo Ferreira,(71) 98104-2923,0,Não contribuiu
Victor Mendes,(71) 92806-2924,80,Espécie
Samuel Mendes,(71) 92002-2925,30,Espécie
Elaine Carvalho,(71) 95855-2926,95,PIX
Fábio Souza,(71) 91882-2927,60,PIX
Helena Moreira,(71) 97401-2928,80,Espécie
Victor Gomes,(71) 99561-2929,35,PIX
Beatriz Pereira,(71) 98193-2930,0,Não contribuiu
Carlos Oliveira,(71) 98775-2931,80,Espécie
Fábio Ribeiro,(71) 96554-2932,20,PIX
Sofia Gomes,(71) 98902-2933,85,PIX
Vanessa Oliveira,(71) 98947-2934,60,PIX
Marcelo Ribeiro,(71) 98490-2935,0,Não contribuiu
Natália Ferreira,(71) 96025-2936,0,Não contribuiu
Gustavo Lima,(71) 96944-2937,45,PIX
Marcelo Rocha,(71) 93930-2938,0,Não contribuiu
Mariana Santos,(71) 92766-2939,0,Não contribuiu
Victor Vieira,(71) 97459-2940,0,Não contribuiu
Elaine Costa,(71) 95856-2941,70,PIX
Camila Teixeira,(71) 93212-2942,90,PIX
Fernanda Costa,(71) 97877-2943,15,PIX
Rafael Oliveira,(71) 98683-2944,90,PIX
Eduardo Silva,(71) 92207-2945,90,PIX
Marcelo Dias,(71) 93211-2946,0,Não contribuiu
Victor Barbosa,(71) 93984-2947,80,PIX
Natália Almeida,(71) 93002-2948,65,Espécie
Mateus Barbosa,(71) 96860-2949,0,Não contribuiu
Renata Gomes,(71) 98514-2950,0,Não contribuiu
Paulo Nascimento,(71) 99430-2951,95,Espécie
Beatriz Lima,(71) 95920-2952,0,Não contribuiu
William Ribeiro,(71) 95106-2953,20,Espécie
Elaine Moreira,(71) 98428-2954,0,Não contribuiu
Daniel Rocha,(71) 98842-2955,25,PIX
Natália Dias,(71) 97721-2956,0,Não contribuiu
